Name	Package	Protection
com.vzw.services.lc.SWITCH_ENV	com.verizon.mips.services	2
com.google.android.onetimeinitializer.permission.ONE_TIME_INITIALIZED	com.google.android.onetimeinitializer	2
android.permission.DVB_DEVICE	android	18
com.google.android.messages.rcs.PROVISIONING_EVENT	com.google.android.apps.messaging	
android.permission.RESET_PASSWORD	android	18
android.permission.BIND_DOMAIN_VERIFICATION_AGENT	android	2
android.permission.PERFORM_SIM_ACTIVATION	android	18
android.permission.MANAGE_ROTATION_RESOLVER	android	2
com.android.alarm.permission.SET_ALARM	android	
android.permission.CAPTURE_AUDIO_HOTWORD	android	67108882
android.permission.WRITE_MEDIA_STORAGE	android	18
android.permission.SIGNAL_REBOOT_READINESS	android	18
android.permission.RECORD_BACKGROUND_AUDIO	android	67108868
android.permission.CONTROL_DISPLAY_SATURATION	android	18
com.android.voicemail.permission.READ_VOICEMAIL	android	67108882
android.permission.WRITE_BLOCKED_NUMBERS	android	2
android.permission.ACCESS_AMBIENT_LIGHT_STATS	android	50
android.permission.GRANT_RUNTIME_PERMISSIONS_TO_TELEPHONY_DEFAULTS	android	2
android.permission.SET_INITIAL_LOCK	android	2050
android.permission.SET_ANIMATION_SCALE	android	50
com.google.android.gms.permission.AD_ID_NOTIFICATION	com.google.android.gms	
com.android.vending.setup.PLAY_SETUP_SERVICE	com.android.vending	
android.permission.WATCH_APPOPS	android	18
android.permission.GET_TASKS	android	
android.permission.BIND_CACHE_QUOTA_SERVICE	android	2
android.permission.BROADCAST_NETWORK_PRIVILEGED	android	18
android.permission.ACCESS_SURFACE_FLINGER	android	2
android.permission.SUBSCRIBED_FEEDS_WRITE	android	
com.google.euiccpixel.permission.SECURE_ELEMENT	com.google.euiccpixel.permissions	18
android.permission.AUTHENTICATE_ACCOUNTS	android	
android.permission.INTERNET	android	4096
android.permission.BIND_RESOLVER_RANKER_SERVICE	android	2
com.android.soundpicker.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	com.android.soundpicker	2
com.android.vending.CHECK_LICENSE	com.android.vending	4096
android.permission.TV_INPUT_HARDWARE	android	32786
com.android.vending.INTENT_VENDING_ONLY	com.google.android.gsf	2
com.google.android.googleapps.permission.GOOGLE_AUTH.knol	com.google.android.gsf	2
com.google.android.googleapps.permission.GOOGLE_AUTH.mail	com.google.android.gsf	2
com.google.android.googleapps.permission.GOOGLE_AUTH.news	com.google.android.gsf	2
com.google.android.googleapps.permission.GOOGLE_AUTH.talk	com.google.android.gsf	2
com.google.android.googleapps.permission.GOOGLE_AUTH.wifi	com.google.android.gsf	2
com.google.android.googleapps.permission.GOOGLE_AUTH.wise	com.google.android.gsf	2
android.permission.TRANSMIT_IR	android	
com.google.android.gms.permission.C2D_MESSAGE	com.google.android.gms	2
android.permission.RETRIEVE_WINDOW_CONTENT	android	18
android.permission.VIRTUAL_INPUT_DEVICE	android	2
com.google.firebase.auth.api.gms.permission.LAUNCH_FEDERATED_SIGN_IN	com.google.android.gms	2
com.android.permission.CONNMO_SETTINGS	com.android.sdm.plugins.connmo	18
com.google.android.flipendo.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	com.google.android.flipendo	2
com.breel.wallpapers.notifications	com.android.systemui	
android.permission.REORDER_TASKS	android	
android.permission.ACCESS_BROADCAST_RADIO	android	18
